time,icao24,callsign,lat,lon,heading,geoaltitude (ft),velocity(kts),vertrate (ft/min),onground,squawk,alert,spi,baroaltitude,lastposupdate,lastcontact
2023-02-01 16:19:31,N863GT,5Y747,47.9062,-122.2856,179,650,167,4224,0,,,,,,
2023-02-01 16:19:38,N863GT,5Y747,47.9009,-122.2855,179,1300,155,5376,0,,,,,,
2023-02-01 16:19:43,N863GT,5Y747,47.8977,-122.2854,180,1675,154,4096,0,,,,,,
2023-02-01 16:19:45,N863GT,5Y747,47.8962,-122.2853,178,1800,155,3264,0,,,,,,
2023-02-01 16:20:01,N863GT,5Y747,47.8859,-122.285,179,2175,155,,0,,,,,,
2023-02-01 16:19:54,N863GT,5Y747,47.8899,-122.2852,178,2100,155,,0,,,,,,
2023-02-01 16:20:04,N863GT,5Y747,47.8834,-122.2849,179,2200,155,,0,,,,,,
2023-02-01 16:20:06,N863GT,5Y747,47.8812,-122.2849,179,2225,155,,0,,,,,,
2023-02-01 16:20:14,N863GT,5Y747,47.8756,-122.2847,178,2300,154,832,0,6627,,,,,
2023-02-01 16:20:21,N863GT,5Y747,47.8726,-122.2847,180,2300,154,,0,6627,,,,,
2023-02-01 16:20:25,N863GT,5Y747,47.8685,-122.2846,179,2475,156,,0,6627,,,,,
2023-02-01 16:20:31,N863GT,5Y747,47.864,-122.2846,181,2600,157,,0,6627,,,,,
2023-02-01 16:20:35,N863GT,5Y747,47.8607,-122.2847,179,2675,160,,0,6627,,,,,
2023-02-01 16:20:40,N863GT,5Y747,47.8575,-122.2843,175,2750,165,,0,6627,,,,,
2023-02-01 16:20:44,N863GT,5Y747,47.8544,-122.2833,169,2825,170,,0,6627,,,,,
2023-02-01 16:20:50,N863GT,5Y747,47.85,-122.2806,152,2800,170,,0,6627,,,,,
2023-02-01 16:20:53,N863GT,5Y747,47.8474,-122.278,144,2775,170,,0,6627,,,,,
2023-02-01 16:20:56,N863GT,5Y747,47.8459,-122.2762,140,2750,170,,0,6627,,,,,
2023-02-01 16:21:05,N863GT,5Y747,47.8398,-122.2674,135,2825,180,,0,6627,,,,,
2023-02-01 16:21:10,N863GT,5Y747,47.8371,-122.2635,135,2825,180,,0,6627,,,,,
2023-02-01 16:21:16,N863GT,5Y747,47.8337,-122.2583,134,2850,181,,0,6627,,,,,
2023-02-01 16:21:20,N863GT,5Y747,47.8319,-122.2554,133,2850,183,,0,6627,,,,,
2023-02-01 16:21:28,N863GT,5Y747,47.827,-122.2478,134,2825,182,,0,6627,,,,,
2023-02-01 16:21:34,N863GT,5Y747,47.8232,-122.242,135,2825,182,,0,6627,,,,,
2023-02-01 16:21:38,N863GT,5Y747,47.8212,-122.2388,133,2825,181,,0,6627,,,,,
2023-02-01 16:21:44,N863GT,5Y747,47.8179,-122.234,135,2825,182,,0,6627,,,,,
2023-02-01 16:21:46,N863GT,5Y747,47.8161,-122.2311,134,2825,182,,0,6627,,,,,
2023-02-01 16:21:55,N863GT,5Y747,47.8109,-122.2232,134,2825,182,,0,6627,,,,,
2023-02-01 16:22:01,N863GT,5Y747,47.8075,-122.218,135,2825,182,,0,6627,,,,,
